Count,Date,State,Bill,Bill Description,Bill Type,Status
2,2018-02-06,OK,SB 1250," Second reading, referred to committee (S)",Religious Freedom,Introduced
2,,,," Second reading, referred to committee",Religious Freedom,Introduced
2,2018-03-22,KY,HB 372, Session ended,Religious Freedom,Dead/Failed
2,,,, Session ended,Religious Freedom,Dead/Failed
2,2018-03-27,CO,HB 1206, Session ended,Religious Freedom,Dead/Failed
2,,,, Session ended,Religious Freedom,Dead/Failed
3,2020-02-07,IA,HF 2273,Introduced; Referred to Committee 2/7/20,Religious Freedom,Introduced
3,,,,Introduced; Referred to Committee 2/7/20,Religious Freedom,Introduced
3,,,,Introduced; Referred to Committee 2/7/20,Religious Freedom,Introduced
3,2020-02-11,IA,SF 2194,Referred to Subcommittee 2/11/20,Religious Freedom,Introduced
3,,,,Introduced; Referred to Committee 2/11/20,Religious Freedom,Introduced
3,,,,Introduced; Referred to Committee 2/11/20,Religious Freedom,Introduced
2,2020-02-24,SD,HB 1215,Dead/Failed 2/24/20,Other,Dead/Failed
2,,,,Dead/Failed 2/24/20,Nondiscrimination Protections,Dead/Failed
2,2020-03-03,MS,SB 2240,Dead/Failed in Committee 3/3/20,Public Facilities,Dead/Failed
2,,,,Dead/Failed in Committee 3/3/20,Youth Athletics,Dead/Failed
2,2021-01-04,NH,HB 198,Relative to an exception to the opportunity for public education without discrimination.,Youth Athletics,Introduced
2,,,,Relative to an exception to the opportunity for public education without discrimination.,Youth Athletics,Introduced
2,2021-01-12,SC,H 3477,"Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Ensure Continued Inclusivity Of Females In The School Sports Arena By Providing That Public And Private Middle School-level And High School-level Teams And Sports Must Be Designated Based On Biological Sex, To Provide That Teams Or Sports Designated For Females May Be Restricted To Students Of The Female Sex, To Provide For Certain Protections For Public And Private Schools, And To Provide Certain Relief For Violations.",Youth Athletics,Dead/Failed
2,,,,"Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Ensure Continued Inclusivity Of Females In The School Sports Arena By Providing That Public And Private Middle School-level And High School-level Teams And Sports Must Be Designated Based On Biological Sex, To Provide That Teams Or Sports Designated For Females May Be Restricted To Students Of The Female Sex, To Provide For Certain Protections For Public And Private Schools, And To Provide Certain Relief For Violations.",Youth Athletics,Dead/Failed
2,2021-01-14,MN,SF 96,High school league member public schools separate teams provision violation clarification,Youth Athletics,Introduced
2,,,,High school league member public schools separate teams provision violation clarification,Youth Athletics,Introduced
2,2021-01-22,IA,HF 184,A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.,Youth Athletics,Dead/Failed
2,,,,A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.,Youth Athletics,Dead/Failed
2,2021-01-22,IA,HF 187,A bill for an act relating to unfair practices involving access to areas of public accommodations or educational institutions.,Public Facilities,Dead/Failed
2,,,,A bill for an act relating to unfair practices involving access to areas of public accommodations or educational institutions.,Public Facilities,Dead/Failed
2,2021-01-22,IA,HF 193,"A bill for an act relating to actions relative to treatment or intervention regarding the discordance between a minor's sex and gender identity, and providing civil penalties.",Healthcare,Dead/Failed
2,,,,"A bill for an act relating to actions relative to treatment or intervention regarding the discordance between a minor's sex and gender identity, and providing civil penalties.",Healthcare,Dead/Failed
2,2021-01-27,HI,HB 1304,Prohibits biologically born males from competing in any athletic program offered by a public high school that is designated for women or girls.,Youth Athletics,Dead/Failed
2,,,,Prohibits biologically born males from competing in any athletic program offered by a public high school that is designated for women or girls.,Youth Athletics,Dead/Failed
2,2021-01-28,IA,HF 272,A bill for an act removing gender identity as a protected class under the Iowa civil rights Act.,Other,Dead/Failed
2,,,,A bill for an act removing gender identity as a protected class under the Iowa civil rights Act.,Nondiscrimination Protections,Dead/Failed
2,2021-01-28,MN,HF 350,Student participation in athletic teams restricted.,Youth Athletics,Introduced
2,,,,Student participation in athletic teams restricted.,Youth Athletics,Introduced
2,2021-01-28,MN,HF 352,Female student sport team participation restricted to the female sex.,Youth Athletics,Introduced
2,,,,Female student sport team participation restricted to the female sex.,Youth Athletics,Introduced
2,2021-02-01,OK,SB 331,Student athletics; creating the Save Women's Sports Act; requiring designation of certain athletic teams. Effective date. Emergency.,Youth Athletics,Dead/Failed
2,,,,Student athletics; creating the Save Women's Sports Act; requiring designation of certain athletic teams. Effective date. Emergency.,Youth Athletics,Dead/Failed
2,2021-02-01,OK,SB 583,Health services for minors; prohibiting certain medical treatment for minors; providing penalty. Effective date.,Healthcare,Dead/Failed
2,,,,Health services for minors; prohibiting certain medical treatment for minors; providing penalty. Effective date.,Healthcare,Dead/Failed
2,2021-02-01,OK,SB 676,Crime and punishment; providing definition; providing certain penalty. Effective date.,Healthcare,Dead/Failed
2,,,,Crime and punishment; providing definition; providing certain penalty. Effective date.,Healthcare,Dead/Failed
2,2021-02-02,IA,HF 334,A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.,Youth Athletics,Dead/Failed
2,,,,A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.,Youth Athletics,Dead/Failed
2,2021-02-02,IA,HF 340,A bill for an act relating to the construction of the Iowa civil rights Act of 1965 regarding sex and gender identity.,Other,Dead/Failed
2,,,,A bill for an act relating to the construction of the Iowa civil rights Act of 1965 regarding sex and gender identity.,Nondiscrimination Protections,Dead/Failed
2,2021-02-02,IA,HF 341,A bill for an act relating to the statute of limitations for recovery from injuries sustained from treatment for identity disorder.,Healthcare,Dead/Failed
2,,,,A bill for an act relating to the statute of limitations for recovery from injuries sustained from treatment for identity disorder.,Healthcare,Dead/Failed
2,2021-02-02,IA,SF 224,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.,Youth Athletics,Dead/Failed
2,,,,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.,Public Facilities,Dead/Failed
2,2021-02-03,GA,HB 276,"A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to provide that it shall be unlawful for a public school, an institution of the University System of Georgia, or a private school whose students or teams compete against a public school to operate, sponsor, or facilitate athletic programs or activities that permit a person whose gender is male to participate in an athletic program or activity that is designated for females; to provide for a definition; to provide for remedies for violations; to waive certain immunities; to provide for related matters; to repeal conflicting laws; and for other purposes.",Youth Athletics,Introduced
2,,,,"A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to provide that it shall be unlawful for a public school, an institution of the University System of Georgia, or a private school whose students or teams compete against a public school to operate, sponsor, or facilitate athletic programs or activities that permit a person whose gender is male to participate in an athletic program or activity that is designated for females; to provide for a definition; to provide for remedies for violations; to waive certain immunities; to provide for related matters; to repeal conflicting laws; and for other purposes.",Youth Athletics,Introduced
2,2021-02-03,OH,HB 61,"To enact sections 3313.5317 and 3345.561 of the Revised Code to enact the ""Save Women's Sports Act"" to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex.",Youth Athletics,Introduced
2,,,,"To enact sections 3313.5317 and 3345.561 of the Revised Code to enact the ""Save Women's Sports Act"" to require schools, state institutions of higher education, and private colleges to designate separate single-sex teams and sports for each sex.",Youth Athletics,Introduced
2,2021-02-05,TN,HB 0578,"As introduced, prohibits the provision of sexual identity change therapy to prepubescent minors; prohibits the provision of sexual identity change therapy to minors who have entered puberty unless a parent or guardian has written recommendations for the therapy from at least three physicians; punishes violations as child abuse; designates violations by healthcare professionals as professional misconduct. - Amends TCA Title 8; Title 36; Title 37; Title 39; Title 49; Title 53; Title 56; Title 63; Title 68 and Title 71.",Healthcare,Introduced
2,,,,"As introduced, prohibits the provision of sexual identity change therapy to prepubescent minors; prohibits the provision of sexual identity change therapy to minors who have entered puberty unless a parent or guardian has written recommendations for the therapy from at least three physicians; punishes violations as child abuse; designates violations by healthcare professionals as professional misconduct. - Amends TCA Title 8; Title 36; Title 37; Title 39; Title 49; Title 53; Title 56; Title 63; Title 68 and Title 71.",Healthcare,Introduced
2,2021-02-08,IA,HF 405,A bill for an act relating to unfair practices involving access to areas of public accommodations designated for persons of one biological sex.,Youth Athletics,Dead/Failed
2,,,,A bill for an act relating to unfair practices involving access to areas of public accommodations designated for persons of one biological sex.,Public Facilities,Dead/Failed
2,2021-02-09,GA,HB 372,"A BILL to be entitled an Act to amend Part 14 of Article 6 of Title 20 of the Official Code of Georgia Annotated, relating to other educational programs, so as to provide a definition for the term ""gender""; to provide for the classification of athletic events or activities based on gender; to provide for a waiver process; to provide for remedies; to provide for related matters; to repeal conflicting laws; and for other purposes.",Youth Athletics,Introduced
2,,,,"A BILL to be entitled an Act to amend Part 14 of Article 6 of Title 20 of the Official Code of Georgia Annotated, relating to other educational programs, so as to provide a definition for the term ""gender""; to provide for the classification of athletic events or activities based on gender; to provide for a waiver process; to provide for remedies; to provide for related matters; to repeal conflicting laws; and for other purposes.",Youth Athletics,Introduced
2,2021-02-09,SC,S 0531,"Enact The ""save Women's Sports Act""; To Amend Article 5, Chapter 1, Title 59 Of The 1976 Code, Relating To Miscellaneous Educational Provisions, By Adding Section 59-1-500, To Provide That Public And Private Middle School-level And High School-level Teams And Sports Must Be Designated Based On Biological Sex, To Provide That Teams Or Sports Designated For Females Must Be Restricted To Students Of The Female Sex, To Provide Certain Protections For Public And Private Schools, And To Provide Certain Relief For Violations.",Youth Athletics,Dead/Failed
